nome,id_presidente
Deodoro da Fonseca,1
Floriano Peixoto,2
Prudente de Morais,3
Campos Sales,4
Rodrigues Alves,5
Afonso Pena,6
Nilo Peçanha,7
Hermes da Fonseca,8
Venceslau Brás,9
Delfim Moreira,10
Epitácio Pessoa,11
Artur Bernardes,12
Washington Luís,13
Junta Governativa Provisória de 1930,14
Getúlio Vargas,15
José Linhares,16
Eurico Gaspar Dutra,17
Café Filho,18
Carlos Luz,19
Nereu Ramos,20
Juscelino Kubitschek,21
Jânio Quadros,22
Ranieri Mazzilli,23
João Goulart,24
Humberto Castelo Branco,25
Artur da Costa e Silva,26
Junta militar de 1969,27
Emílio Garrastazu Médici,28
Ernesto Geisel,29
João Figueiredo,30
José Sarney,31
Fernando Collor,32
